SOC	Job Title	Employment Prospects	Annual Average Openings	"Entry Level Education Required
(per Bureau of Labor Statistics)"	"Work Experience Required
(per Bureau of Labor Statistics)"	"On-the-Job Training Required
(per Bureau of Labor Statistics)"	"Usual Education
Attained by Members of this Occupation*"
SocCode	JobTitle	Prospects	AnnualAvgOpenings	EntryEduLevel	ReqWorkExp	ReqJobTraining	AverageEduLevel
29-2081	"Opticians, Dispensing"	Very Favorable	30	High school diploma or equivalent	None	Long-term on-the-job training	"Some college, no degree"
29-2799	"Health Technologists and Technicians, All Other"	Favorable	60	Postsecondary non-degree award	None	Short-term on-the-job training	"Some college, no degree"
29-9011	Occupational Health and Safety Specialists	Favorable	50	Bachelor's degree	None	Moderate-term on-the-job training	Bachelor's degree
29-9799	"Healthcare Practitioners and Technical Workers, All Other"	Favorable	40	Bachelor's degree	None	None	Bachelor's degree
31-1011	Home Health Aides	Very Favorable	4700	Less than high school	None	Short-term on-the-job training	High school
31-1012	"Nursing Aides, Orderlies, and Attendants"	Very Favorable	960	Postsecondary non-degree award	None	None	"Some college, no degree"
31-1013	Psychiatric Aides	Favorable	100	High school diploma or equivalent	None	Short-term on-the-job training	High school
31-2011	Occupational Therapy Assistants	Very Favorable	20	Associate's degree	None	None	Associate's degree
31-2021	Physical Therapist Assistants	Very Favorable	50	Associate's degree	None	None	Associate's degree
31-2022	Physical Therapist Aides	Very Favorable	50	High school diploma or equivalent	None	Moderate-term on-the-job training	Associate's degree
31-9011	Massage Therapists	Very Favorable	70	Postsecondary non-degree award	None	None	"Some college, no degree"
31-9091	Dental Assistants	Very Favorable	280	Postsecondary non-degree award	None	None	"Some college, no degree"
31-9092	Medical Assistants	Very Favorable	310	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
31-9093	Medical Equipment Preparers	Favorable	20	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
31-9094	Medical Transcriptionists	Favorable	30	Postsecondary non-degree award	None	None	"Some college, no degree"
31-9095	Pharmacy Aides	Very Favorable	30	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
31-9096	Veterinary Assistants and Laboratory Animal Caretakers	Favorable	20	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
31-9799	"Healthcare Support Workers, All Other"	Very Favorable	130	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
33-1099	"First-Line Supervisors of Protective Service Workers, All Other"	Very Favorable	140	High school diploma or equivalent	1 to 5 years	None	"Some college, no degree"
33-9032	Security Guards	Very Favorable	1840	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
33-9092	"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"	Very Favorable	270	High school diploma or equivalent	None	Short-term on-the-job training	High school
33-9099	"Protective Service Workers, All Other"	Favorable	80	High school diploma or equivalent	None	Short-term on-the-job training	High school
35-1011	Chefs and Head Cooks	Unfavorable	60	High school diploma or equivalent	1 to 5 years	None	High school
35-1012	First-Line Supervisors of Food Preparation and Serving Workers	Very Favorable	480	High school diploma or equivalent	1 to 5 years	None	"Some college, no degree"
35-2011	"Cooks, Fast Food"	Very Unfavorable	90	Less than high school	None	Short-term on-the-job training	High school
35-2012	"Cooks, Institution and Cafeteria"	Very Favorable	200	Less than high school	None	Short-term on-the-job training	High school
35-2014	"Cooks, Restaurant"	Very Favorable	940	Less than high school	Less than 1 year	Moderate-term on-the-job training	High school
35-2015	"Cooks, Short Order"	Very Favorable	140	Less than high school	None	Short-term on-the-job training	High school
35-2021	Food Preparation Workers	Very Favorable	1010	Less than high school	None	Short-term on-the-job training	High school
35-3011	Bartenders	Very Favorable	600	Less than high school	None	Short-term on-the-job training	"Some college, no degree"
35-3021	"Combined Food Preparation and Serving Workers, Including Fast Food"	Very Favorable	2120	Less than high school	None	Short-term on-the-job training	High school
35-3022	"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"	Very Favorable	940	Less than high school	None	Short-term on-the-job training	High school
35-3031	Waiters and Waitresses	Very Favorable	3310	Less than high school	None	Short-term on-the-job training	Associate's degree
35-3041	"Food Servers, Nonrestaurant"	Very Favorable	300	Less than high school	None	Short-term on-the-job training	High school
35-9011	Dining Room and Cafeteria Attendants and Bartender Helpers	Very Favorable	520	Less than high school	None	Short-term on-the-job training	High school
35-9021	Dishwashers	Very Favorable	770	Less than high school	None	Short-term on-the-job training	Less than high school
35-9031	"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"	Very Favorable	400	Less than high school	None	None	High school
35-9099	"Food Preparation and Serving Related Workers, All Other"	Favorable	20	Less than high school	None	Short-term on-the-job training	High school
37-1011	First-Line Supervisors of Housekeeping and Janitorial Workers	Very Unfavorable	90	High school diploma or equivalent	1 to 5 years	None	High school
37-1012	"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"	Favorable	40	High school diploma or equivalent	1 to 5 years	None	"Some college, no degree"
37-2011	"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"	Very Favorable	2530	Less than high school	None	Short-term on-the-job training	High school
37-2012	Maids and Housekeeping Cleaners	Very Favorable	1180	Less than high school	None	Short-term on-the-job training	High school
37-3011	Landscaping and Groundskeeping Workers	Very Favorable	260	Less than high school	None	Short-term on-the-job training	High school
39-1021	First-Line Supervisors of Personal Service Workers	Very Favorable	230	High school diploma or equivalent	1 to 5 years	None	"Some college, no degree"
39-3021	Motion Picture Projectionists	Favorable	10	Less than high school	None	Short-term on-the-job training	"Some college, no degree"
39-3031	"Ushers, Lobby Attendants, and Ticket Takers"	Very Favorable	400	Less than high school	None	Short-term on-the-job training	Associate's degree
39-3091	Amusement and Recreation Attendants	Very Favorable	310	Less than high school	None	Short-term on-the-job training	High school
39-3092	Costume Attendants	Very Favorable	70	High school diploma or equivalent	None	Short-term on-the-job training	High school
39-3093	"Locker Room, Coatroom, and Dressing Room Attendants"	Very Favorable	60	High school diploma or equivalent	None	Short-term on-the-job training	High school
39-5011	Barbers	Favorable	40	Postsecondary non-degree award	None	None	High school
39-5012	"Hairdressers, Hairstylists, and Cosmetologists"	Very Favorable	590	Postsecondary non-degree award	None	None	High school
39-5091	"Makeup Artists, Theatrical and Performance"	Favorable	20	Postsecondary non-degree award	None	None	High school
39-5092	Manicurists and Pedicurists	Very Favorable	230	Postsecondary non-degree award	None	None	High school
39-5093	Shampooers	Very Unfavorable	30	Less than high school	None	Short-term on-the-job training	High school
39-5094	Skincare Specialists	Very Favorable	80	Postsecondary non-degree award	None	None	High school
39-6011	Baggage Porters and Bellhops	Favorable	110	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
39-6012	Concierges	Very Favorable	100	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
39-9011	Childcare Workers	Very Favorable	2760	High school diploma or equivalent	None	Short-term on-the-job training	High school
39-9021	Personal Care Aides	Very Favorable	4530	Less than high school	None	Short-term on-the-job training	High school
39-9031	Fitness Trainers and Aerobics Instructors	Very Favorable	380	High school diploma or equivalent	None	Short-term on-the-job training	Bachelor's degree
39-9032	Recreation Workers	Very Favorable	410	Bachelor's degree	None	None	Bachelor's degree
39-9041	Residential Advisors	Very Favorable	50	"Some college, no degree"	Less than 1 year	Short-term on-the-job training	Associate's degree
39-9099	"Personal Care and Service Workers, All Other"	Very Favorable	110	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
41-1011	First-Line Supervisors of Retail Sales Workers	Very Favorable	720	High school diploma or equivalent	1 to 5 years	None	"Some college, no degree"
41-1012	First-Line Supervisors of Non-Retail Sales Workers	Very Favorable	340	High school diploma or equivalent	More than 5 years	None	Bachelor's degree
41-2011	Cashiers	Very Favorable	3710	Less than high school	None	Short-term on-the-job training	High school
41-2021	Counter and Rental Clerks	Very Unfavorable	90	Less than high school	None	Short-term on-the-job training	High school
41-2031	Retail Salespersons	Very Favorable	4540	Less than high school	None	Short-term on-the-job training	Associate's degree
41-3011	Advertising Sales Agents	Very Favorable	680	High school diploma or equivalent	None	Moderate-term on-the-job training	Bachelor's degree
41-3021	Insurance Sales Agents	Very Favorable	210	High school diploma or equivalent	None	Moderate-term on-the-job training	Bachelor's degree
41-3031	"Securities, Commodities, and Financial Services Sales Agents"	Very Favorable	1630	Bachelor's degree	None	Moderate-term on-the-job training	Bachelor's degree
41-3041	Travel Agents	Favorable	80	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
41-3099	"Sales Representatives, Services, All Other"	Very Favorable	820	High school diploma or equivalent	None	Short-term on-the-job training	Bachelor's degree
41-4011	"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"	Very Favorable	170	Bachelor's degree	None	Moderate-term on-the-job training	Bachelor's degree
41-4012	"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"	Very Favorable	1230	High school diploma or equivalent	None	Moderate-term on-the-job training	Bachelor's degree
41-9011	Demonstrators and Product Promoters	Favorable	70	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
41-9021	Real Estate Brokers	Very Favorable	170	High school diploma or equivalent	1 to 5 years	None	Bachelor's degree
41-9022	Real Estate Sales Agents	Very Favorable	480	High school diploma or equivalent	None	Long-term on-the-job training	Bachelor's degree
41-9031	Sales Engineers	Very Favorable	80	Bachelor's degree	None	Moderate-term on-the-job training	Bachelor's degree
41-9041	Telemarketers	Favorable	120	Less than high school	None	Short-term on-the-job training	"Some college, no degree"
41-9799	"Sales and Related Workers, All Other"	Very Favorable	190	High school diploma or equivalent	None	Moderate-term on-the-job training	Bachelor's degree
43-1011	First-Line Supervisors of Office and Administrative Support Workers	Very Favorable	1730	High school diploma or equivalent	1 to 5 years	None	"Some college, no degree"
43-2011	"Switchboard Operators, Including Answering Service"	Very Unfavorable	70	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-2021	Telephone Operators	Very Unfavorable	20	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-3011	Bill and Account Collectors	Very Favorable	170	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
43-3021	Billing and Posting Clerks	Very Favorable	400	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-3031	"Bookkeeping, Accounting, and Auditing Clerks"	Very Favorable	960	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
43-3051	Payroll and Timekeeping Clerks	Favorable	140	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
43-3071	Tellers	Unfavorable	510	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-4011	Brokerage Clerks	Favorable	230	High school diploma or equivalent	None	Moderate-term on-the-job training	Bachelor's degree
43-4041	"Credit Authorizers, Checkers, and Clerks"	Very Unfavorable	50	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-4051	Customer Service Representatives	Very Favorable	2070	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-4071	File Clerks	Unfavorable	160	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-4081	"Hotel, Motel, and Resort Desk Clerks"	Very Favorable	180	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-4111	"Interviewers, Except Eligibility and Loan"	Very Favorable	190	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-4121	"Library Assistants, Clerical"	Very Favorable	120	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-4131	Loan Interviewers and Clerks	Very Unfavorable	60	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-4141	New Accounts Clerks	Very Unfavorable	40	High school diploma or equivalent	None	Short-term on-the-job training	Bachelor's degree
43-4151	Order Clerks	Unfavorable	100	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-4161	"Human Resources Assistants, Except Payroll and Timekeeping"	Favorable	120	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-4171	Receptionists and Information Clerks	Very Favorable	2000	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-4181	Reservation and Transportation Ticket Agents and Travel Clerks	Very Favorable	170	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-4199	"Information and Record Clerks, All Other"	Very Unfavorable	120	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-5011	Cargo and Freight Agents	Favorable	130	High school diploma or equivalent	None	Short-term on-the-job training	High school
43-5021	Couriers and Messengers	Unfavorable	160	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-5032	"Dispatchers, Except Police, Fire, and Ambulance"	Very Favorable	190	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
43-5051	Postal Service Clerks	Very Unfavorable	50	High school diploma or equivalent	None	Short-term on-the-job training	High school
43-5052	Postal Service Mail Carriers	Unfavorable	270	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-5053	"Postal Service Mail Sorters, Processors, and Processing Machine Operators"	Very Unfavorable	30	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-5061	"Production, Planning, and Expediting Clerks"	Unfavorable	200	High school diploma or equivalent	None	Moderate-term on-the-job training	Bachelor's degree
43-5071	"Shipping, Receiving, and Traffic Clerks"	Unfavorable	440	High school diploma or equivalent	None	Short-term on-the-job training	High school
43-5081	Stock Clerks and Order Fillers	Unfavorable	980	Less than high school	None	Short-term on-the-job training	High school
43-5111	"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"	Favorable	20	High school diploma or equivalent	None	Short-term on-the-job training	High school
43-6011	Executive Secretaries and Executive Administrative Assistants	Very Favorable	1040	High school diploma or equivalent	1 to 5 years	None	"Some college, no degree"
43-6012	Legal Secretaries	Very Favorable	190	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
43-6013	Medical Secretaries	Very Favorable	90	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
43-6014	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	Favorable	1240	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-9011	Computer Operators	Very Unfavorable	30	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
43-9021	Data Entry Keyers	Very Unfavorable	110	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
43-9022	Word Processors and Typists	Very Unfavorable	20	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-9031	Desktop Publishers	Very Unfavorable	20	Associate's degree	None	Short-term on-the-job training	Bachelor's degree
43-9041	Insurance Claims and Policy Processing Clerks	Very Unfavorable	100	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
43-9051	"Mail Clerks and Mail Machine Operators, Except Postal Service"	Very Favorable	150	High school diploma or equivalent	None	Short-term on-the-job training	High school
43-9061	"Office Clerks, General"	Very Favorable	2670	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-9071	"Office Machine Operators, Except Computer"	Very Unfavorable	100	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
43-9081	Proofreaders and Copy Markers	Very Unfavorable	20	Bachelor's degree	None	Moderate-term on-the-job training	Bachelor's degree
43-9111	Statistical Assistants	Unfavorable	10	Bachelor's degree	None	None	"Some college, no degree"
43-9799	"Office and Administrative Support Workers, All Other"	Very Favorable	320	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
47-1011	First-Line Supervisors of Construction Trades and Extraction Workers	Very Favorable	400	High school diploma or equivalent	More than 5 years	None	High school
47-2011	Boilermakers	Very Unfavorable	10	High school diploma or equivalent	None	Apprenticeship	High school
47-2021	Brickmasons and Blockmasons	Very Favorable	140	High school diploma or equivalent	None	Apprenticeship	High school
47-2022	Stonemasons	Favorable	20	High school diploma or equivalent	None	Apprenticeship	High school
47-2031	Carpenters	Very Favorable	770	High school diploma or equivalent	None	Apprenticeship	High school
47-2044	Tile and Marble Setters	Very Favorable	40	Less than high school	None	Long-term on-the-job training	High school
47-2051	Cement Masons and Concrete Finishers	Very Favorable	50	Less than high school	None	Moderate-term on-the-job training	High school
47-2061	Construction Laborers	Very Favorable	320	Less than high school	None	Short-term on-the-job training	High school
47-2071	"Paving, Surfacing, and Tamping Equipment Operators"	Favorable	20	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
47-2073	Operating Engineers and Other Construction Equipment Operators	Favorable	110	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
47-2081	Drywall and Ceiling Tile Installers	Favorable	70	Less than high school	None	Moderate-term on-the-job training	High school
47-2082	Tapers	Very Favorable	30	Less than high school	None	Moderate-term on-the-job training	High school
47-2111	Electricians	Very Favorable	640	High school diploma or equivalent	None	Apprenticeship	"Some college, no degree"
47-2121	Glaziers	Very Favorable	70	High school diploma or equivalent	None	Apprenticeship	High school
47-2141	"Painters, Construction and Maintenance"	Very Favorable	350	Less than high school	None	Moderate-term on-the-job training	High school
47-2142	Paperhangers	Very Favorable	10	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
47-2152	"Plumbers, Pipefitters, and Steamfitters"	Very Favorable	380	High school diploma or equivalent	None	Apprenticeship	High school
47-2161	Plasterers and Stucco Masons	Very Favorable	30	Less than high school	None	Long-term on-the-job training	"Some college, no degree"
47-2181	Roofers	Favorable	50	Less than high school	None	Moderate-term on-the-job training	High school
47-2211	Sheet Metal Workers	Favorable	50	High school diploma or equivalent	None	Apprenticeship	High school
47-2221	Structural Iron and Steel Workers	Favorable	50	High school diploma or equivalent	None	Apprenticeship	"Some college, no degree"
47-3011	"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"	Very Favorable	40	Less than high school	None	Short-term on-the-job training	High school
47-3012	Helpers--Carpenters	Very Favorable	100	Less than high school	None	Short-term on-the-job training	High school
47-3013	Helpers--Electricians	Favorable	70	High school diploma or equivalent	None	Short-term on-the-job training	High school
47-3015	"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"	Very Favorable	90	High school diploma or equivalent	None	Short-term on-the-job training	High school
47-3019	"Helpers, Construction Trades, All Other"	Very Favorable	20	Less than high school	None	Short-term on-the-job training	High school
47-4011	Construction and Building Inspectors	Favorable	90	High school diploma or equivalent	More than 5 years	Moderate-term on-the-job training	"Some college, no degree"
47-4021	Elevator Installers and Repairers	Unfavorable	90	High school diploma or equivalent	None	Apprenticeship	High school
47-4041	Hazardous Materials Removal Workers	Very Favorable	80	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
47-4799	"Construction and Related Workers, All Other"	Favorable	10	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
49-1011	"First-Line Supervisors of Mechanics, Installers, and Repairers"	Very Favorable	310	High school diploma or equivalent	1 to 5 years	None	High school
49-2011	"Computer, Automated Teller, and Office Machine Repairers"	Favorable	110	Postsecondary non-degree award	None	None	"Some college, no degree"
49-2022	"Telecommunications Equipment Installers and Repairers, Except Line Installers"	Favorable	140	Postsecondary non-degree award	None	Moderate-term on-the-job training	"Some college, no degree"
49-2093	"Electrical and Electronics Installers and Repairers, Transportation Equipment"	Favorable	10	Postsecondary non-degree award	None	Long-term on-the-job training	Associate's degree
49-2098	Security and Fire Alarm Systems Installers	Very Favorable	80	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
49-3011	Aircraft Mechanics and Service Technicians	Unfavorable	50	Postsecondary non-degree award	None	None	"Some college, no degree"
49-3021	Automotive Body and Related Repairers	Very Favorable	60	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
49-3023	Automotive Service Technicians and Mechanics	Very Favorable	330	High school diploma or equivalent	None	Long-term on-the-job training	High school
49-3031	Bus and Truck Mechanics and Diesel Engine Specialists	Unfavorable	110	High school diploma or equivalent	None	Long-term on-the-job training	High school
49-3042	"Mobile Heavy Equipment Mechanics, Except Engines"	Favorable	10	High school diploma or equivalent	None	Long-term on-the-job training	High school
49-9012	"Control and Valve Installers and Repairers, Except Mechanical Door"	Very Unfavorable	40	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
49-9021	"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"	Very Favorable	220	Postsecondary non-degree award	None	Long-term on-the-job training	Associate's degree
49-9031	Home Appliance Repairers	Favorable	10	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
49-9041	Industrial Machinery Mechanics	Very Favorable	50	High school diploma or equivalent	None	Long-term on-the-job training	High school
49-9043	"Maintenance Workers, Machinery"	Favorable	20	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
49-9052	Telecommunications Line Installers and Repairers	Unfavorable	160	High school diploma or equivalent	None	Long-term on-the-job training	"Some college, no degree"
49-9062	Medical Equipment Repairers	Very Favorable	30	Associate's degree	None	Moderate-term on-the-job training	"Some college, no degree"
49-9071	"Maintenance and Repair Workers, General"	Very Favorable	1290	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
49-9091	"Coin, Vending, and Amusement Machine Servicers and Repairers"	Very Favorable	40	High school diploma or equivalent	None	Short-term on-the-job training	High school
49-9094	Locksmiths and Safe Repairers	Very Favorable	20	High school diploma or equivalent	None	Long-term on-the-job training	High school
49-9098	"Helpers--Installation, Maintenance, and Repair Workers"	Favorable	110	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
49-9799	"Installation, Maintenance, and Repair Workers, All Other"	Very Unfavorable	20	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-1011	First-Line Supervisors of Production and Operating Workers	Very Unfavorable	70	Postsecondary non-degree award	1 to 5 years	None	High school
51-2022	Electrical and Electronic Equipment Assemblers	Favorable	30	High school diploma or equivalent	None	Short-term on-the-job training	High school
51-2041	Structural Metal Fabricators and Fitters	Unfavorable	10	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-2092	Team Assemblers	Very Unfavorable	80	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-2099	"Assemblers and Fabricators, All Other"	Very Favorable	70	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-3011	Bakers	Favorable	150	Less than high school	None	Long-term on-the-job training	High school
51-3021	Butchers and Meat Cutters	Favorable	80	Less than high school	None	Long-term on-the-job training	High school
51-3022	"Meat, Poultry, and Fish Cutters and Trimmers"	Very Favorable	90	Less than high school	None	Short-term on-the-job training	High school
51-3092	Food Batchmakers	Favorable	60	High school diploma or equivalent	Less than 1 year	Short-term on-the-job training	High school
51-3093	Food Cooking Machine Operators and Tenders	Favorable	10	High school diploma or equivalent	Less than 1 year	Short-term on-the-job training	High school
51-4031	"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"	Very Unfavorable	Less than 10	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-4033	"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"	Very Unfavorable	10	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-4041	Machinists	Favorable	50	High school diploma or equivalent	None	Long-term on-the-job training	High school
51-4072	"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"	Very Unfavorable	10	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-4081	"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"	Very Unfavorable	10	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-4121	"Welders, Cutters, Solderers, and Brazers"	Favorable	50	High school diploma or equivalent	Less than 1 year	Moderate-term on-the-job training	High school
51-4122	"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"	Very Unfavorable	10	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-5111	Prepress Technicians and Workers	Very Unfavorable	20	Postsecondary non-degree award	None	None	Associate's degree
51-5112	Printing Press Operators	Very Unfavorable	80	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-5113	Print Binding and Finishing Workers	Very Unfavorable	20	High school diploma or equivalent	None	Short-term on-the-job training	High school
51-6011	Laundry and Dry-Cleaning Workers	Favorable	160	Less than high school	None	Short-term on-the-job training	High school
51-6021	"Pressers, Textile, Garment, and Related Materials"	Very Unfavorable	10	Less than high school	None	Short-term on-the-job training	Less than high school
51-6031	Sewing Machine Operators	Very Unfavorable	50	Less than high school	None	Short-term on-the-job training	Less than high school
51-6041	Shoe and Leather Workers and Repairers	Very Unfavorable	20	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-6051	"Sewers, Hand"	Very Unfavorable	10	Less than high school	None	Moderate-term on-the-job training	High school
51-6052	"Tailors, Dressmakers, and Custom Sewers"	Very Unfavorable	30	Less than high school	None	Moderate-term on-the-job training	High school
51-6062	"Textile Cutting Machine Setters, Operators, and Tenders"	Very Unfavorable	20	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-6092	Fabric and Apparel Patternmakers	Very Unfavorable	20	High school diploma or equivalent	None	Moderate-term on-the-job training	Associate's degree
51-6093	Upholsterers	Very Unfavorable	20	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-6099	"Textile, Apparel, and Furnishings Workers, All Other"	Very Unfavorable	Less than 10	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
51-7011	Cabinetmakers and Bench Carpenters	Very Unfavorable	40	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-7021	Furniture Finishers	Very Unfavorable	10	High school diploma or equivalent	None	Short-term on-the-job training	High school
51-8013	Power Plant Operators	Very Unfavorable	20	High school diploma or equivalent	None	Long-term on-the-job training	High school
51-8021	Stationary Engineers and Boiler Operators	Favorable	60	High school diploma or equivalent	None	Long-term on-the-job training	High school
51-9012	"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"	Very Favorable	10	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-9021	"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"	Very Unfavorable	10	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-9022	"Grinding and Polishing Workers, Hand"	Very Unfavorable	10	Less than high school	None	Moderate-term on-the-job training	High school
51-9023	"Mixing and Blending Machine Setters, Operators, and Tenders"	Very Unfavorable	30	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-9032	"Cutting and Slicing Machine Setters, Operators, and Tenders"	Very Unfavorable	10	High school diploma or equivalent	None	Short-term on-the-job training	High school
51-9061	"Inspectors, Testers, Sorters, Samplers, and Weighers"	Very Unfavorable	90	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
51-9071	Jewelers and Precious Stone and Metal Workers	Very Unfavorable	80	High school diploma or equivalent	None	Long-term on-the-job training	High school
51-9081	Dental Laboratory Technicians	Favorable	10	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
51-9083	Ophthalmic Laboratory Technicians	Very Favorable	30	High school diploma or equivalent	None	Moderate-term on-the-job training	"Some college, no degree"
51-9111	Packaging and Filling Machine Operators and Tenders	Unfavorable	30	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-9121	"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"	Very Unfavorable	10	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-9123	"Painting, Coating, and Decorating Workers"	Very Unfavorable	10	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
51-9151	Photographic Process Workers and Processing Machine Operators	Very Unfavorable	30	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
51-9195	"Molders, Shapers, and Casters, Except Metal and Plastic"	Very Unfavorable	20	High school diploma or equivalent	None	Long-term on-the-job training	High school
51-9196	"Paper Goods Machine Setters, Operators, and Tenders"	Very Unfavorable	10	High school diploma or equivalent	None	Moderate-term on-the-job training	High school
