SOC	Job Title	Employment Prospects	Annual Average Openings	"Entry Level Education Required
(per Bureau of Labor Statistics)"	"Work Experience Required
(per Bureau of Labor Statistics)"	"On-the-Job Training Required
(per Bureau of Labor Statistics)"	"Usual Education
Attained by Members of this Occupation*"
SocCode	JobTitle	Prospects	AnnualAvgOpenings	EntryEduLevel	ReqWorkExp	ReqJobTraining	AverageEduLevel
15-1131	Computer Programmers	Very Favorable	520	Bachelor's degree	None	None	Bachelor's degree
15-1132	"Software Developers, Applications"	Very Favorable	660	Bachelor's degree	None	None	Bachelor's degree
15-1133	"Software Developers, Systems Software"	Very Favorable	380	Bachelor's degree	None	None	Bachelor's degree
15-1141	Database Administrators	Very Favorable	160	Bachelor's degree	1 to 5 years	None	Bachelor's degree
15-1142	Network and Computer Systems Administrators	Very Favorable	420	Bachelor's degree	None	None	Bachelor's degree
15-1150	Computer Support Specialists	Very Favorable	840	"Some college, no degree"	None	Moderate-term on-the-job training	Bachelor's degree
15-1179	"Information Security Analysts, Web Developers, and Computer Network Architects"	Very Favorable	410	Bachelor's degree	1 to 5 years	None	Bachelor's degree
15-1799	"Computer Occupations, All Other"	Favorable	50	Bachelor's degree	None	None	Bachelor's degree
15-2011	Actuaries	Favorable	130	Bachelor's degree	None	Long-term on-the-job training	Bachelor's degree
15-2031	Operations Research Analysts	Favorable	120	Bachelor's degree	None	None	Bachelor's degree
15-2041	Statisticians	Very Favorable	60	Master's degree	None	None	Master's degree
17-1011	"Architects, Except Landscape and Naval"	Very Favorable	260	Bachelor's degree	None	Internship/residency	Bachelor's degree
17-1012	Landscape Architects	Favorable	30	Bachelor's degree	None	Internship/residency	Bachelor's degree
17-2051	Civil Engineers	Very Favorable	200	Bachelor's degree	None	None	Bachelor's degree
17-2061	Computer Hardware Engineers	Very Favorable	20	Bachelor's degree	None	None	Bachelor's degree
17-2071	Electrical Engineers	Favorable	60	Bachelor's degree	None	None	Bachelor's degree
17-2072	"Electronics Engineers, Except Computer"	Favorable	10	Bachelor's degree	None	None	Bachelor's degree
17-2081	Environmental Engineers	Favorable	30	Bachelor's degree	None	None	Bachelor's degree
17-2111	"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"	Favorable	10	Bachelor's degree	None	None	Bachelor's degree
17-2112	Industrial Engineers	Unfavorable	10	Bachelor's degree	None	None	Bachelor's degree
17-2141	Mechanical Engineers	Very Favorable	90	Bachelor's degree	None	None	Bachelor's degree
17-2199	"Engineers, All Other"	Favorable	30	Bachelor's degree	None	None	Bachelor's degree
17-3011	Architectural and Civil Drafters	Favorable	70	Associate's degree	None	None	Associate's degree
17-3012	Electrical and Electronics Drafters	Very Unfavorable	10	Associate's degree	None	None	Associate's degree
17-3019	"Drafters, All Other"	Very Unfavorable	10	Associate's degree	None	None	Associate's degree
17-3022	Civil Engineering Technicians	Very Favorable	20	Associate's degree	None	None	"Some college, no degree"
17-3023	Electrical and Electronics Engineering Technicians	Very Unfavorable	30	Associate's degree	None	None	"Some college, no degree"
17-3029	"Engineering Technicians, Except Drafters, All Other"	Favorable	10	Associate's degree	None	None	"Some college, no degree"
19-1021	Biochemists and Biophysicists	Very Favorable	20	Doctoral or professional degree	None	None	Bachelor's degree
19-1022	Microbiologists	Favorable	10	Bachelor's degree	None	None	Bachelor's degree
19-1029	"Biological Scientists, All Other"	Very Unfavorable	10	Doctoral or professional degree	None	None	Bachelor's degree
19-1042	"Medical Scientists, Except Epidemiologists"	Very Favorable	70	Doctoral or professional degree	None	None	Doctoral or professional degree
19-2031	Chemists	Unfavorable	30	Bachelor's degree	None	None	Bachelor's degree
19-2041	"Environmental Scientists and Specialists, Including Health"	Very Favorable	30	Bachelor's degree	None	None	Bachelor's degree
19-2099	"Physical Scientists, All Other"	Unfavorable	20	Bachelor's degree	None	None	Doctoral or professional degree
19-3011	Economists	Very Unfavorable	10	Bachelor's degree	None	None	Master's degree
