ID	TEXT	FAQ_RESPONSESOURCEID
633779	Unknown	5023
633780	Unknown	5023
633781	Unknown	5023
633782	Unknown	5023
633783	Unknown	5023
633784	Unknown	5023
633785	Unknown	5023
633786	Unknown	5023
633787	Unknown	5023
633788	Unknown	5023
633789	Unknown	5023
633790	Unknown	5023
633791	Unknown	5023
633792	Unknown	5023
633793	Unknown	5023
633794	Unknown	5023
633795	Unknown	5023
633796	Unknown	5023
633797	Unknown	5023
633798	Unknown	5023
633799	Unknown	5023
633800	Unknown	5023
633801	Unknown	5023
633802	Unknown	5023
633803	Unknown	5023
633804	Unknown	5023
633805	Unknown	5023
633806	Unknown	5023
633807	Unknown	5023
633808	Unknown	5023
633809	Unknown	5023
633810	Unknown	5023
633811	Unknown	5023
633812	Unknown	5023
633813	Unknown	5023
633814	Unknown	5023
633815	Unknown	5023
633816	Unknown	5023
633817	Unknown	5023
633818	Unknown	5023
633819	Unknown	5023
633820	Unknown	5023
633821	Unknown	5023
633822	Unknown	5023
633823	Unknown	5023
633824	Unknown	5023
633825	Unknown	5023
633826	Unknown	5023
633827	Unknown	5023
633828	Unknown	5023
633829	Unknown	5023
633830	Unknown	5023
633831	Unknown	5023
633832	Unknown	5023
633833	Unknown	5023
633834	Unknown	5023
633835	Unknown	5023
633836	Unknown	5023
633837	Unknown	5023
633838	Unknown	5023
633839	Unknown	5023
633840	Unknown	5023
633841	Unknown	5023
633842	Unknown	5023
633843	Unknown	5023
633844	Unknown	5023
633845	Unknown	5023
633846	Unknown	5023
633847	Unknown	5023
633848	Unknown	5023
633849	Unknown	5023
633850	Unknown	5023
633851	Unknown	5023
633852	Unknown	5023
633853	Unknown	5023
633854	Unknown	5023
633855	Unknown	5023
633856	Unknown	5023
633857	Unknown	5023
633858	Unknown	5023
633859	Unknown	5023
633860	Unknown	5023
633861	Unknown	5023
633862	Unknown	5023
633863	Unknown	5023
633864	Unknown	5023
633865	Unknown	5023
633866	Unknown	5023
633867	Unknown	5023
633868	Unknown	5023
633869	Unknown	5023
633870	Unknown	5023
633871	Unknown	5023
633872	Unknown	5023
633873	Unknown	5023
633874	Unknown	5023
633875	Unknown	5023
633876	Unknown	5023
633877	Unknown	5023
633878	Unknown	5023
633879	Unknown	5023
633880	Unknown	5023
633881	Unknown	5023
633882	Unknown	5023
633883	Unknown	5023
633884	Unknown	5023
633885	Unknown	5023
633886	Unknown	5023
633887	Unknown	5023
633888	Unknown	5023
633889	Unknown	5023
633890	Unknown	5023
633891	Unknown	5023
633892	Unknown	5023
633893	Unknown	5023
633894	Unknown	5023
633895	Unknown	5023
633896	Unknown	5023
633897	Unknown	5023
633898	Unknown	5023
633899	Unknown	5023
633900	Unknown	5023
633901	Unknown	5023
633902	Unknown	5023
633903	Unknown	5023
633904	Unknown	5023
633905	Unknown	5023
633906	Unknown	5023
633907	Unknown	5023
633908	Unknown	5023
633909	Unknown	5023
633910	Unknown	5023
633911	Unknown	5023
633912	Unknown	5023
633913	Unknown	5023
633914	Unknown	5023
633915	Unknown	5023
633916	Unknown	5023
633917	Unknown	5023
633918	Unknown	5023
633919	Unknown	5023
633920	Unknown	5023
633921	Unknown	5023
633922	Unknown	5023
633923	Unknown	5023
633924	Unknown	5023
633925	Unknown	5023
633926	Unknown	5023
633927	Unknown	5023
633928	Unknown	5023
633929	Unknown	5023
633930	Unknown	5023
633931	Unknown	5023
633932	Unknown	5023
633933	Unknown	5023
633934	Unknown	5023
633935	Unknown	5023
633936	Unknown	5023
633937	Unknown	5023
633938	Unknown	5023
633939	Unknown	5023
633940	Unknown	5023
633941	Unknown	5023
633942	Unknown	5023
633943	Unknown	5023
633944	Unknown	5023
633945	Unknown	5023
633946	Unknown	5023
633947	Unknown	5023
633948	Unknown	5023
633949	Unknown	5023
633950	Unknown	5023
633951	Unknown	5023
633952	Unknown	5023
633953	Unknown	5023
633954	Unknown	5023
633955	Unknown	5023
633956	Unknown	5023
633957	Unknown	5023
633958	Unknown	5023
633959	Unknown	5023
633960	Unknown	5023
633961	Unknown	5023
633962	Unknown	5023
633963	Unknown	5023
633964	Unknown	5023
633965	Unknown	5023
633966	Unknown	5023
633967	Unknown	5023
633968	Unknown	5023
633969	Unknown	5023
633970	Unknown	5023
633971	Unknown	5023
633972	Unknown	5023
633973	Unknown	5023
633974	Unknown	5023
633975	Unknown	5023
633976	Unknown	5023
633977	Unknown	5023
633978	Unknown	5023
633979	Unknown	5023
633980	Unknown	5023
633981	Unknown	5023
633982	Unknown	5023
633983	Unknown	5023
633984	Unknown	5023
633985	Unknown	5023
633986	Unknown	5023
633987	Unknown	5023
633988	Unknown	5023
633989	Unknown	5023
633990	Unknown	5023
633991	Unknown	5023
633992	Unknown	5023
633993	Unknown	5023
633994	Unknown	5023
633995	Unknown	5023
633996	Unknown	5023
633997	Unknown	5023
633998	Unknown	5023
633999	Unknown	5023
